station_id,year,clc_temporal_method,clc_lower_year,clc_upper_year,clc_interpolation_weight,clc_urban_fabric_share_500m,clc_industrial_commercial_transport_share_500m,clc_mine_dump_construction_share_500m,clc_artificial_green_share_500m,clc_arable_land_share_500m,clc_permanent_crops_share_500m,clc_pastures_share_500m,clc_heterogeneous_agriculture_share_500m,clc_forest_share_500m,clc_shrub_herbaceous_share_500m,clc_open_spaces_share_500m,clc_wetlands_share_500m,clc_water_share_500m,clc_valid_data_share_500m,clc_artificial_total_share_500m,clc_agriculture_total_share_500m,clc_urban_fabric_share_1000m,clc_industrial_commercial_transport_share_1000m,clc_mine_dump_construction_share_1000m,clc_artificial_green_share_1000m,clc_arable_land_share_1000m,clc_permanent_crops_share_1000m,clc_pastures_share_1000m,clc_heterogeneous_agriculture_share_1000m,clc_forest_share_1000m,clc_shrub_herbaceous_share_1000m,clc_open_spaces_share_1000m,clc_wetlands_share_1000m,clc_water_share_1000m,clc_valid_data_share_1000m,clc_artificial_total_share_1000m,clc_agriculture_total_share_1000m
NI_100000481,2006,snapshot,2006,2006,0,0,0,0,0,0.7302482502,0,0,0,0.2697517498,0,0,0,0,1,0,0.7302482502,0,0,0,0,0.6193929322,0,0.00426785512,0,0.3763392126,0,0,0,0,1,0,0.6236607874
NI_100000481,2007,linear_interpolation,2006,2012,0.1666666667,0,0,0,0,0.7184148245,0,0.01391476577,0,0.2676704097,0,0,0,0,1,0,0.7323295903,0,0,0,0,0.6100724738,0,0.01412336913,0,0.3758041571,0,0,0,0,1,0,0.6241958429
NI_100000481,2008,linear_interpolation,2006,2012,0.3333333333,0,0,0,0,0.7065813989,0,0.02782953153,0,0.2655890696,0,0,0,0,1,0,0.7344109304,0,0,0,0,0.6007520154,0,0.02397888314,0,0.3752691015,0,0,0,0,1,0,0.6247308985
NI_100000481,2009,linear_interpolation,2006,2012,0.5,0,0,0,0,0.6947479732,0,0.0417442973,0,0.2635077295,0,0,0,0,1,0,0.7364922705,0,0,0,0,0.5914315569,0,0.03383439715,0,0.3747340459,0,0,0,0,1,0,0.6252659541
NI_100000481,2010,linear_interpolation,2006,2012,0.6666666667,0,0,0,0,0.6829145476,0,0.05565906306,0,0.2614263894,0,0,0,0,1,0,0.7385736106,0,0,0,0,0.5821110985,0,0.04368991116,0,0.3741989903,0,0,0,0,1,0,0.6258010097
NI_100000481,2011,linear_interpolation,2006,2012,0.8333333333,0,0,0,0,0.6710811219,0,0.06957382883,0,0.2593450493,0,0,0,0,1,0,0.7406549507,0,0,0,0,0.5727906401,0,0.05354542517,0,0.3736639347,0,0,0,0,1,0,0.6263360653
NI_100000481,2012,snapshot,2012,2012,0,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000481,2013,linear_interpolation,2012,2018,0.1666666667,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000481,2014,linear_interpolation,2012,2018,0.3333333333,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000481,2015,linear_interpolation,2012,2018,0.5,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000481,2016,linear_interpolation,2012,2018,0.6666666667,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000481,2017,linear_interpolation,2012,2018,0.8333333333,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000481,2018,snapshot,2018,2018,0,0,0,0,0,0.6592476963,0,0.08348859459,0,0.2572637091,0,0,0,0,1,0,0.7427362909,0,0,0,0,0.5634701817,0,0.06340093918,0,0.3731288792,0,0,0,0,1,0,0.6268711208
NI_100000605,2006,snapshot,2006,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
NI_100000605,2007,linear_interpolation,2006,2012,0.1666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9919591748,0,0.008040825234,0,0,0,0,0,0,1,0,1
NI_100000605,2008,linear_interpolation,2006,2012,0.3333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9839183495,0,0.01608165047,0,0,0,0,0,0,1,0,1
NI_100000605,2009,linear_interpolation,2006,2012,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9758775243,0,0.0241224757,0,0,0,0,0,0,1,0,1
NI_100000605,2010,linear_interpolation,2006,2012,0.6666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9678366991,0,0.03216330094,0,0,0,0,0,0,1,0,1
NI_100000605,2011,linear_interpolation,2006,2012,0.8333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9597958738,0,0.04020412617,0,0,0,0,0,0,1,0,1
NI_100000605,2012,snapshot,2012,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000605,2013,linear_interpolation,2012,2018,0.1666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000605,2014,linear_interpolation,2012,2018,0.3333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000605,2015,linear_interpolation,2012,2018,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000605,2016,linear_interpolation,2012,2018,0.6666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000605,2017,linear_interpolation,2012,2018,0.8333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000605,2018,snapshot,2018,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9517550486,0,0.0482449514,0,0,0,0,0,0,1,0,1
NI_100000636,2006,snapshot,2006,2006,0,0.01057827927,0,0,0,0.6998791054,0,0.2895426154,0,0,0,0,0,0,1,0.01057827927,0.9894217207,0.04348045016,0,0,0,0.5423474911,0,0.3014048692,0.02374178605,0.08902540346,0,0,0,0,1,0.04348045016,0.8674941464
NI_100000636,2007,linear_interpolation,2006,2012,0.1666666667,0.01980488952,0,0,0,0.6781516556,0,0.3020434549,0,0,0,0,0,0,1,0.01980488952,0.9801951105,0.04865219836,0,0,0,0.5232927986,0,0.3209756875,0.01978482171,0.08729449382,0,0,0,0,1,0.04865219836,0.8640533078
