station_id,year,n_measurements,nitrate_mg_l,state_code,station_name,water_body_id,water_body_name,sampling_depth_m,lon_etrs89,lat_etrs89
BB_25481088,2012,1,0.15,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2013,1,1.07,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2014,1,0.31,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2015,2,0.15,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2016,1,0.16,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2017,1,0.05,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2018,1,0.05,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2019,2,0.11,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2020,2,0.04,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2021,2,0.04,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25481088,2022,3,0.13,BB,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543
BB_25501075,2012,1,88,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2013,1,90.5,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2014,1,76.5,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2015,2,77,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2016,1,67.5,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2017,1,76.5,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2018,1,40.5,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2019,2,84.5,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2020,2,83,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2021,6,92.13,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_25501075,2022,3,96,BB,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417
BB_26390030,2012,1,0.15,BB,Krempendorf OP,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,6,12.1778506,53.3326178
BB_26390030,2013,1,0.04,BB,Krempendorf OP,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,6,12.1778506,53.3326178
BB_26390030,2014,1,0.4,BB,Krempendorf OP,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,6,12.1778506,53.3326178
BB_26390030,2015,2,0.13,BB,Krempendorf OP,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,6,12.1778506,53.3326178
BB_26390030,2016,1,0.25,BB,Krempendorf OP,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,6,12.1778506,53.3326178
