station_id,year,n_measurements,nitrate_mg_l,state_code,station_name,water_body_id,water_body_name,sampling_depth_m,lon_etrs89,lat_etrs89
NI_100000481,2012,1,48.7,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2013,1,62,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2014,1,31.9,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2015,1,66.4,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2016,1,43.83,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2017,1,53.12,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2018,1,61.98,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2019,1,53.12,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2020,1,42.5,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2021,2,33.31,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000481,2022,1,40.02,NI,Heißum I,DEGB_DENI_4_2003,Innerste mesozoisches Festgestein rechts,8,10.4076744,51.9892088
NI_100000605,2012,1,0.22,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2013,1,0.89,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2014,1,0.22,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2015,2,0.33,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2016,1,0.44,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2017,1,0.44,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2018,1,0.44,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2019,2,0.22,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2020,2,0.22,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2021,3,0.18,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000605,2022,2,1.08,NI,Reinshof-Nord,DEGB_DENI_4_2013,Leine mesozoisches Festgestein rechts 1,2.1,9.9352476,51.4923066
NI_100000636,2012,1,68.6,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2013,1,64.2,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2014,1,70.8,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2015,2,75.26,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2016,1,75.26,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2017,1,70.83,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2018,1,66.41,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2019,2,59.76,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2020,2,61.98,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
NI_100000636,2021,3,62.67,NI,Emmen I,DEGB_DENI_4_2103,Ise Lockergestein rechts,9.3,10.6228076,52.7052441
