station_id,station_name,water_body_id,water_body_name,sampling_depth_m,lon_etrs89,lat_etrs89,state_code
BB_25481088,Milow OP,DEGB_DEBB_ODR_OF_2,Uecker,34.9,13.8214799,53.4758543,BB
BB_25501075,Neuenfeld OP,DEGB_DEBB_ODR_OF_2,Uecker,42.1,14.0396771,53.4177417,BB
BB_26390030,Krempendorf OP,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,6,12.1778506,53.3326178,BB
BB_26471092,Buchenhain,DEGB_DEBB_ODR_OF_2,Uecker,17.1,13.5486285,53.3100218,BB
BB_26480022,Schönermark-Wilhelmshof,DEGB_DEBB_ODR_OF_2,Uecker,14.7,13.7203479,53.3318456,BB
BB_27410250,"Dranse, 1 km nordöstl.",DEGB_DEMV_MEL_EO_4_16,EldeOberlauf,5,12.6379552,53.20891,BB
BB_27511090,Neuschönfeld OP,DEGB_DEBB_ODR_OD_1-1,Alte Oder 1,20,14.3039683,53.2410955,BB
BB_28360020,Stavenow,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,4.5,11.7113054,53.1433483,BB
BB_28511234,Blumenhagen,DEGB_DEBB_ODR_OD_4,Schwedt,4.7,14.3052915,53.1167176,BB
BB_29410630,"Fretzdorf, 700 m nördlich",DEGB_DEBB_HAV_DJ_1,Dosse / Jäglitz,10.6,12.5493481,53.0752959,BB
BB_29519047,Criewen,DEGB_DEBB_ODR_OD_1-1,Alte Oder 1,5.1,14.231375,53.0203718,BB
BB_30370060,"Bälow, Trafohaus",DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,8.1,11.8645991,52.9399534,BB
BB_30390001,Schönhagen,DEGB_DEBB_MEL_SL_1,Stepenitz / Loecknitz,13,12.1845576,52.978581,BB
BB_30410900,Brunn,DEGB_DEBB_HAV_DJ_1,Dosse / Jäglitz,9.1,12.514159,52.9149708,BB
BB_30429700,Darritz OP,DEGB_DEBB_HAV_RH_1,Rhin,9.6,12.7077225,52.9457855,BB
BB_30448600,Meseberg,DEGB_DEBB_HAV_RH_1,Rhin,15.5,13.0984281,52.9690539,BB
BB_30470030,"Groß Schönebeck, West OP",DEGB_DEBB_HAV_OH_3,Obere Havel,5.1,13.5210037,52.9040041,BB
BB_31419710,"Wildberg, Heiningenberg OP",DEGB_DEBB_HAV_RH_1,Rhin,18,12.6152264,52.8656109,BB
BB_31464700,Neuholland,DEGB_DEBB_HAV_OH_3,Obere Havel,6,13.3406922,52.8737869,BB
BB_31481901,Lichterfelde,DEGB_DEBB_ODR_OD_3,Eberswalde,5.7,13.7291148,52.8677821,BB
BB_31502077,Neuranft-Herrenwiese,DEGB_DEBB_ODR_OD_5,Oderbruch,5,14.103337,52.8024691,BB
BB_32392350,"Gülpe, nahe Feldscheune OP",DEGB_DEBB_HAV_RH_1,Rhin,9.7,12.2414715,52.7219131,BB
BB_32417780,Görne Südwest,DEGB_DEBB_HAV_UH_4,Untere Havel 4,3.9,12.5007646,52.6988811,BB
BB_32439500,Ziethenhorst Süd,DEGB_DEBB_HAV_RH_1,Rhin,13,12.8755593,52.7939584,BB
BB_32449210,Sommerswalde OP,DEGB_DEBB_HAV_RH_1,Rhin,14.1,13.1105612,52.7493104,BB
BB_32455006,Borgsdorf/Pinnow OP,DEGB_DEBB_HAV_OH_1,Oranienburg,0.2,13.2249337,52.7048639,BB
BB_32512147,Eichwerder,DEGB_DEBB_ODR_OD_5,Oderbruch,6.1,14.1935049,52.7201651,BB
BB_33502258,Reichenow OP,DEGB_DEBB_ODR_OD_2,Wriezen,15,14.0647103,52.6432787,BB
BB_33522349,Letschin-Wilhelmsaue,DEGB_DEBB_ODR_OD_5,Oderbruch,8,14.3453289,52.6622965,BB
BB_34447013,"Dallgow, nördlich der Bahngleise",DEGB_DEBE_HAV_OH_1,Obere Havel BE,3.6,13.0884243,52.5428676,BB
BB_34522490,Hackenow,DEGB_DEBB_ODR_OD_5,Oderbruch,4.3,14.4650166,52.5256985,BB
BB_34522498,"Gusow OP, KSP 59",DEGB_DEBB_ODR_OD_5,Oderbruch,8,14.3868026,52.5841423,BB
BB_35406451,Kützkow,DEGB_DEBB_HAV_UH_4,Untere Havel 4,19.1,12.4336051,52.4910787,BB
BB_35416130,Lünow OP,DEGB_DEBB_HAV_UH_10,Nauen,14.1,12.6490598,52.4761081,BB
BB_35422520,Deetz-Schmergow OP,DEGB_DEBB_HAV_UH_2,Untere Havel 2,3.1,12.7892492,52.442488,BB
BB_35432600,Golm Nord,DEGB_DEBB_HAV_NU_3,Potsdam,22.1,12.9681271,52.417631,BB
BB_35522594,Alt Zeschdorf,DEGB_DEBB_ODR_OD_6,Frankfurt (Oder ),11,14.4527121,52.4245549,BB
BB_36432850,"Plötzin, Glindower Weg",DEGB_DEBB_HAV_UH_2,Untere Havel 2,15.1,12.8546209,52.3625546,BB
BB_36441950,"Bergholz-Rehbrücke, Am Rehgraben",DEGB_DEBB_HAV_NU_2,Nuthe,8,13.097793,52.3502206,BB
BB_37451911,"Groß Beuthen, Friedhof  OP",DEGB_DEBB_HAV_NU_3,Potsdam,18,13.2170811,52.2435886,BB
BB_37505096,Glienicke OP,DEGB_DEBB_HAV_US_3-2,Untere Spree 2,14,14.0434118,52.2057865,BB
BB_38421580,Linthe Ost OP,DEGB_DEBB_HAV_NU_2,Nuthe,11.9,12.8029217,52.1556107,BB
