year,mean,median,q25,q75,n_units,n_unique_units
2012,46.659801980198026,24.8,0.22,81.9,101,101
2013,46.640392156862745,32.3,0.2225,86.3,102,102
2014,47.552244897959184,18.549999999999997,0.22,93.0,98,98
2015,49.76699029126213,20.36,0.22,90.755,103,103
2016,48.178039215686276,23.674999999999997,0.44,79.6625,102,102
2017,45.70194174757282,19.39,0.44,76.36500000000001,103,103
2018,46.3280198019802,23.24,0.44,79.69,101,101
2019,45.93831683168317,20.72,0.22,82.75,101,101
2020,49.17686274509804,21.47,0.22,76.0325,102,102
2021,44.30111111111111,19.59,0.22,78.9,99,99
2022,42.605555555555554,20.1,0.22,66.205,99,99
