year,mean,median,q25,q75,n_units,n_unique_units
2010,0.030163197941294167,0.0236020334059549,0.014743986608883,0.0366823137492428,37,37
2011,0.03138989939714332,0.0248266158040562,0.015781788673165875,0.03830746293790802,36,36
2012,0.031878413309600895,0.02516619410724285,0.015520742168527626,0.039576517115255824,36,36
2013,0.0323669272220585,0.0244921647698897,0.0152684161209018,0.0406175475214871,36,36
2014,0.032855441134516085,0.0250224530736631,0.01529890945058345,0.04158023155271985,36,36
2015,0.03334395504697367,0.0268695564802372,0.01575861047767345,0.042040009097550776,36,36
2016,0.035364008792065964,0.0285047483450513,0.01629662112127655,0.04495409881368205,39,39
2017,0.039876049817256856,0.0321231537283015,0.02000768798851455,0.04918666016655785,39,39
2018,0.04438809084244777,0.037582463972891,0.023401088090748548,0.0546600736172327,39,39
2019,0.04890013186763867,0.0427179561188641,0.0264157873446637,0.0596409239885009,39,39
2020,0.053412172892829554,0.0477111258880761,0.02943048659857895,0.06643519598415,39,39
