organic_growth_group,year,mean,median,districts
high organic-growth districts,2012,47.76903703703704,48.02,9
high organic-growth districts,2013,53.824629629629634,50.36,9
high organic-growth districts,2014,52.510296296296296,46.61,9
high organic-growth districts,2015,55.37077777777778,44.38,9
high organic-growth districts,2016,49.38037037037037,43.83,9
high organic-growth districts,2017,49.14925925925925,41.17,9
high organic-growth districts,2018,49.30285185185185,45.93,9
high organic-growth districts,2019,47.91166666666666,40.504999999999995,9
high organic-growth districts,2020,48.068333333333335,39.555,9
high organic-growth districts,2021,46.06092592592593,33.31,9
high organic-growth districts,2022,47.239444444444445,40.02,9
low organic-growth districts,2012,55.62346666666666,56.38,10
low organic-growth districts,2013,53.150733333333335,63.071666666666665,10
low organic-growth districts,2014,49.1192,52.891666666666666,10
low organic-growth districts,2015,56.1586,59.182500000000005,10
low organic-growth districts,2016,58.99803333333333,60.405833333333334,10
low organic-growth districts,2017,54.72646666666667,59.955,10
low organic-growth districts,2018,61.89693333333334,72.44133333333333,10
low organic-growth districts,2019,56.572199999999995,68.93083333333334,10
low organic-growth districts,2020,65.57796666666667,73.9665,10
low organic-growth districts,2021,60.99706666666667,68.12633333333333,10
low organic-growth districts,2022,59.29048333333334,66.94708333333334,10
